Iteration,AvgQValue,AvgTarget,AvgLoss,Test Reward
5,5.10833941393255,5.54734526444911,27.6639161509093,89.4
100,79.7419988224404,81.9407862059049,111.17665733898,50.2
200,166.468743230674,158.423069341277,2852.18298716231,18.8
300,486.405249613223,486.876595590857,48412.566146861,15.0
400,943.129419644678,989.180086243513,76613.9714956888,16.4
500,1381.26590220347,1393.09163714051,31633.2405485212,2.2
600,2666.48082424073,2628.3424410706,96454.4540213407,0.0
700,2462.45983548179,2474.52180878121,39338.5129359665,0.0
800,1441.5584818677,1428.09942918773,79939.5684858736,0.0
900,893.684202509734,896.015811338847,39316.8245720069,11.0
1000,399.079275097335,399.320080017417,5719.92432966743,12.4
1100,377.986424013485,387.532101108582,4292.37865088581,14.4
1200,436.38530101952,444.855357676787,5831.77313823669,0.0
1300,450.141336588683,446.630183355581,2388.98857662931,0.0
1400,519.790810467532,524.018855339353,3098.55495422802,0.0
1500,663.068993007135,660.76098725895,4381.70977492642,0.0
1600,727.802913044515,733.200417749584,5823.31862005021,0.0
1700,798.490862999714,788.253643134019,5823.73036206788,0.0
1800,1190.32206367957,1193.17179757768,7654.61888172629,0.0
1900,1597.76384897061,1603.35284682387,14073.3895688039,0.0
2000,2198.72280507626,2189.67839048171,53603.2366272085,0.0
2100,3654.51036993616,3618.59022189597,256997.327279216,0.0
2200,4970.66888762732,5044.01504955531,328391.06508045,0.0
2300,5808.72301719727,5777.82535372933,1301572.08257677,0.0
2400,9652.28356930928,9795.04459694405,2553336.26354422,0.0
2500,11228.0951220411,11300.5300745397,2060695.2229635,0.0
2600,13443.0935973415,13340.9929592239,912402.561609593,0.0
2700,15107.6039000685,15261.5204289213,1055405.10610856,0.0
2800,18074.1188286553,17900.9420758368,2509231.41631045,0.0
2900,19191.526771422,19186.4131259538,2189318.173618,0.0
3000,26804.0716138033,26424.3486916703,8836853.27263877,0.0
3100,24890.3239261328,25084.6259981582,7873938.19712186,0.0
3200,23052.8841285162,23127.8595105066,7186538.74848732,0.0
3300,28573.8884728624,28540.8360527339,8996006.9941419,0.0
3400,27107.4094815701,28166.8504991173,14871749.1164611,0.0
3500,23732.3544064152,23193.6751501409,18744986.6866047,0.0
3600,19663.3699002911,19956.9514627813,9165484.47925777,0.0
3700,18370.6418633404,19004.501765416,11307183.3886788,0.0
3800,17271.2887505025,17240.792740347,9632351.12145367,0.0
3900,13281.5019825716,13260.7529102994,9502348.70750808,0.0
4000,13130.7733035708,13445.3561111877,14017086.4712006,0.0
4100,14218.2944558009,13462.7124239061,29320394.21902,0.0
4200,10410.2396151029,10317.4634986061,27842353.2831944,0.0
4300,8771.64232049655,9466.54163468238,32494224.1358672,0.0
4400,6252.9220380974,6364.72191960666,15264586.6704766,4.0
4500,4076.02577903735,4149.7089867997,1441481.83846828,0.0
4600,2340.78760190397,2305.8648410185,555985.900502403,3.0
4700,2362.29606040764,2454.84829491403,377475.518688106,12.4
4800,1863.10790319714,1845.85825245684,444262.353515744,14.6
4900,2137.11351739724,1771.43763852508,3501256.83569783,12.8
